PartitionKey,RowKey,EntryDateTime,EntryDateTime@type,Date,Date@type,Hour,Hour@type,Minute,Minute@type,Command,Command@type,CommandType,CommandType@type,GuildId,GuildId@type,UserId,UserId@type
20240101,00087581-71f0-4aee-ab33-8e370819708c,2024-01-01T00:59:48.5184435Z,DateTime,01-01-2024,String,00,String,59,String,feed treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,01485a66-be12-4899-a859-0aadf703a671,2024-01-01T01:00:35.4208285Z,DateTime,01-01-2024,String,01,String,00,String,feed treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,01bbade7-ce22-43be-8dcd-a62e210a6218,2024-01-01T01:04:19.6014981Z,DateTime,01-01-2024,String,01,String,04,String,leaderboard feeding,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,03c005e4-cff2-4442-9499-2e4396b962ec,2024-01-01T01:04:05.9851891Z,DateTime,01-01-2024,String,01,String,04,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,061428e6-3d45-460e-b020-d25b6020ff16,2024-01-01T23:18:23.0982515Z,DateTime,01-01-2024,String,23,String,18,String,help,String,Slash,String,1011807625253494794,String,749975210249158666,String
20240101,0705102c-5d68-4a20-b6ac-2b1777e83704,2024-01-01T21:50:38.1000463Z,DateTime,01-01-2024,String,21,String,50,String,pat,String,Slash,String,1048722624261398548,String,712950313547464756,String
20240101,07f59ef6-66e5-46b6-ba5d-ea800d2bb41b,2024-01-01T23:17:45.5327909Z,DateTime,01-01-2024,String,23,String,17,String,relax,String,Slash,String,1011807625253494794,String,749975210249158666,String
20240101,0e6b4ab1-e6fb-4652-868a-df39854f57a4,2024-01-01T01:03:56.370561Z,DateTime,01-01-2024,String,01,String,03,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,0eb000cf-3c43-4ec4-bc02-cae5649898c6,2024-01-01T06:01:46.9889253Z,DateTime,01-01-2024,String,06,String,01,String,bellyrub,String,Slash,String,1064254879155097610,String,1175578520181805170,String
20240101,0ed51596-a766-4ab5-903d-423a0c5c4b15,2024-01-01T01:00:43.5829883Z,DateTime,01-01-2024,String,01,String,00,String,get treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,0fcc37c0-de2c-49d5-a0f5-144b2a4c75e6,2024-01-01T19:42:05.6810255Z,DateTime,01-01-2024,String,19,String,42,String,help,String,Slash,String,1093466161645101056,String,1071318244570443776,String
20240101,0fda3a3f-bdd3-4381-a270-bcb28a44065b,2024-01-01T02:59:52.5825252Z,DateTime,01-01-2024,String,02,String,59,String,group snuggle,String,Slash,String,1129821088004722740,String,957835196441428039,String
20240101,104f185e-689c-4bd6-9ca8-93b4276334c3,2024-01-01T00:59:44.9085621Z,DateTime,01-01-2024,String,00,String,59,String,get treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,125918a0-a741-4bc2-a323-6a78c65b0ec1,2024-01-01T01:01:31.0084356Z,DateTime,01-01-2024,String,01,String,01,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,13d3d831-ffa7-4ea0-ac86-796e44536323,2024-01-01T01:00:37.6884061Z,DateTime,01-01-2024,String,01,String,00,String,get treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,148b505b-5977-4288-9f67-61395f7e2158,2024-01-01T01:04:01.0758646Z,DateTime,01-01-2024,String,01,String,04,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,154d29bf-bb95-4e40-ad7c-d4c006a94b77,2024-01-01T21:38:36.7675147Z,DateTime,01-01-2024,String,21,String,38,String,snuggle,String,Slash,String,745548026923188274,String,490239663626256394,String
20240101,16d508f3-783a-4278-a460-22d6d39ebdf0,2024-01-01T23:18:42.593266Z,DateTime,01-01-2024,String,23,String,18,String,help,String,Slash,String,1011807625253494794,String,749975210249158666,String
20240101,18ba46e0-e012-4dda-b178-1d6059cfaf21,2024-01-01T01:01:05.4730776Z,DateTime,01-01-2024,String,01,String,01,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,19baf73f-4649-43f8-8568-1834da87140c,2024-01-01T00:49:09.4107065Z,DateTime,01-01-2024,String,00,String,49,String,feed treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,1a6cfe34-ca69-40df-9eeb-810ecd529b9c,2024-01-01T01:02:31.0163235Z,DateTime,01-01-2024,String,01,String,02,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,1b7155ef-09cb-43c1-bf8f-ac1b71f47f17,2024-01-01T01:02:06.1381976Z,DateTime,01-01-2024,String,01,String,02,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,1c932453-c551-45fe-9eb4-7d183cbe03d9,2024-01-01T01:00:22.7512297Z,DateTime,01-01-2024,String,01,String,00,String,get treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,1d954282-a2c1-422e-9b22-15c955e67738,2024-01-01T01:01:14.0826447Z,DateTime,01-01-2024,String,01,String,01,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,1f64adde-70d7-4d54-9ef1-7514754a9827,2024-01-01T01:01:23.8351506Z,DateTime,01-01-2024,String,01,String,01,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,1fcb0c87-ed19-4191-a4b6-cb1db77f457c,2024-01-01T11:05:43.9745305Z,DateTime,01-01-2024,String,11,String,05,String,relax,String,Slash,String,1048722624261398548,String,712950313547464756,String
20240101,20328175-089a-4994-bd23-f1f7e1b7fec0,2024-01-01T14:13:18.8501602Z,DateTime,01-01-2024,String,14,String,13,String,pat,String,Slash,String,1172082277287739463,String,845790120593457163,String
20240101,215c95b4-6511-4f35-89e1-0f18c6b491fe,2024-01-01T00:48:58.5119428Z,DateTime,01-01-2024,String,00,String,48,String,get treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,21c5289b-2dff-4c70-b5fd-b73661068fe9,2024-01-01T12:37:09.6095801Z,DateTime,01-01-2024,String,12,String,37,String,group snuggle,String,Slash,String,988551027013877790,String,1074086165336039534,String
20240101,23a4596b-563e-41da-8eb1-e6730de13754,2024-01-01T18:48:14.726283Z,DateTime,01-01-2024,String,18,String,48,String,explain spoiler,String,Slash,String,1188709578020487318,String,1063718871003058176,String
20240101,24828ba6-80f2-4b92-acc0-08af3e841634,2024-01-01T01:02:13.9098033Z,DateTime,01-01-2024,String,01,String,02,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,253d7ea0-ba0b-40e0-afa6-08b1de326af6,2024-01-01T00:49:11.6068388Z,DateTime,01-01-2024,String,00,String,49,String,get treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,27c5a5a7-fe28-41fe-b2e9-467bdbbdd4b3,2024-01-01T00:59:55.1930315Z,DateTime,01-01-2024,String,00,String,59,String,feed treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,28820ce7-487f-421f-b681-082b80cbb57d,2024-01-01T03:00:16.8065657Z,DateTime,01-01-2024,String,03,String,00,String,group snuggle,String,Slash,String,1129821088004722740,String,472691803980693505,String
20240101,28a9d3ec-68d7-42ef-b460-e54437599078,2024-01-01T00:49:34.4400696Z,DateTime,01-01-2024,String,00,String,49,String,feed treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,293e3cf9-87d6-4c3e-ab3f-f9e09839d4bc,2024-01-01T23:20:31.2289772Z,DateTime,01-01-2024,String,23,String,20,String,headbunt,String,Slash,String,1011807625253494794,String,749975210249158666,String
20240101,2ea25a67-2fa4-46b2-8b80-b8f4c530c7ea,2024-01-01T01:02:16.3957462Z,DateTime,01-01-2024,String,01,String,02,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
