PartitionKey,RowKey,Command,Command@type,CommandType,CommandType@type,Date,Date@type,GuildId,GuildId@type,UserId,UserId@type,Hour,Hour@type,Minute,Minute@type,EntryDateTime,EntryDateTime@type
20230413,353f2252-df2e-416c-bd1f-7006f5e946d0,bumpstats,String,Slash,String,13-04-2023,String,859744281879511040,String,920925399599448124,String,,,,,,
20230413,3f4505ba-3ed9-4b6b-80fa-69144facfcd6,pat,String,Slash,String,13-04-2023,String,1048722624261398548,String,712950313547464756,String,,,,,,
20230413,4241fa6f-f8d1-4461-a2fe-54c09cfbc1ba,snuggle,String,Slash,String,13-04-2023,String,859744281879511040,String,465234755429072906,String,,,,,,
20230413,62c493ff-978c-4cd2-bbcb-99ed0f55bbb1,call,String,Slash,String,13-04-2023,String,1048722624261398548,String,712950313547464756,String,,,,,,
20230413,630b33ee-affa-42fa-9772-e9118e3c54b6,snuggle,String,Slash,String,13-04-2023,String,859744281879511040,String,920925399599448124,String,,,,,,
20230413,6353a7c3-2f6c-4be0-9630-6fc0d0f95b00,verify,String,Slash,String,13-04-2023,String,859744281879511040,String,712950313547464756,String,,,,,,
20230413,728544c2-85a5-4e2a-9993-0b07e137c74c,call,String,Slash,String,13-04-2023,String,1048722624261398548,String,712950313547464756,String,,,,,,
20230413,9e04593c-d7bf-4644-9f67-5cfe83cdb10b,verify,String,Slash,String,13-04-2023,String,859744281879511040,String,302165508143316995,String,,,,,,
20230413,bc9ecef0-774b-405a-ae13-5c72f43b0510,pat,String,Slash,String,13-04-2023,String,1048722624261398548,String,712950313547464756,String,,,,,,
20230413,c0cb5c8e-c031-493b-ab94-9f46deb5eca6,call,String,Slash,String,13-04-2023,String,1048722624261398548,String,712950313547464756,String,,,,,,
20230413,c2aa3536-b28f-4c32-9316-2216349aee9a,call,String,Slash,String,13-04-2023,String,1048722624261398548,String,712950313547464756,String,,,,,,
20230413,ef818aa0-22ce-4778-8f33-d0611e08ea45,snuggle,String,Slash,String,13-04-2023,String,859744281879511040,String,712950313547464756,String,,,,,,
20230413,f0c5dbb5-8b35-4e7a-8a5e-35719808140a,mailbox register,String,Slash,String,13-04-2023,String,859744281879511040,String,750965370327924756,String,,,,,,
20230413,f102e521-3158-42d0-a239-7408f225d3c0,verify,String,Slash,String,13-04-2023,String,859744281879511040,String,712950313547464756,String,,,,,,
20230413,fd0f88ff-390e-425f-816e-776544248b16,bumpstats,String,Slash,String,13-04-2023,String,859744281879511040,String,462696127310069771,String,,,,,,
20230414,017d7ec6-0da6-4209-be9c-6d8d0341f816,verify,String,Slash,String,14-04-2023,String,859744281879511040,String,712950313547464756,String,,,,,,
20230414,1019ddd5-6c84-4cef-bc84-80654f14ece7,pat,String,Slash,String,14-04-2023,String,859744281879511040,String,847274365635919882,String,,,,,,
20230414,3042036f-47b1-47bc-949d-65b1db27e036,verify,String,Slash,String,14-04-2023,String,859744281879511040,String,712950313547464756,String,,,,,,
20230414,386a2a3a-4b9e-4758-916d-a3a85f659a64,play ping,String,Slash,String,14-04-2023,String,859744281879511040,String,847274365635919882,String,,,,,,
